# GT-EV-Testbed UART telemetry log
# session_start_ms,3995
# master_id,101,slave_id,102
# poll_ms=125, dual_uart, read_only
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault
4343,102,27.990,0,-0.0897,-0.0001,-0.01870,26.0,-60.0,8
4350,102,27.900,0,-0.0113,-0.0000,-0.01940,26.0,-60.0,8
4469,102,27.290,0,0.0000,0.0000,-0.01920,26.0,-60.0,8
4470,102,27.200,0,0.0000,0.0000,-0.02030,26.0,-60.0,8
4595,102,26.590,0,0.0000,0.0000,-0.01990,26.0,-60.0,8
4596,102,26.480,0,0.0000,0.0000,-0.02070,26.0,-60.0,8
4721,102,25.870,0,0.0000,0.0000,-0.02030,26.0,-60.0,8
4722,102,25.770,0,0.0000,0.0000,-0.02110,26.0,-60.0,8
4847,102,25.160,0,0.0000,0.0000,-0.02110,26.0,-60.0,8
4848,102,25.050,0,0.0000,0.0000,-0.02220,26.0,-60.0,8
4973,102,24.410,0,0.0000,0.0000,-0.02130,26.0,-60.0,8
4974,102,24.310,0,0.0000,0.0000,-0.02270,26.0,-60.0,8
5099,102,23.680,0,0.0000,0.0000,-0.02280,26.0,-60.0,8
5100,102,23.570,0,0.0000,0.0000,-0.02350,26.0,-60.0,8
5225,102,22.940,0,0.0000,0.0000,-0.02310,26.0,-60.0,8
5226,102,22.830,0,0.0000,0.0000,-0.02390,26.0,-60.0,8
5351,102,22.180,0,0.0000,0.0000,-0.02380,26.0,-60.0,8
5352,102,22.060,0,0.0000,0.0000,-0.02450,26.0,-60.0,8
5477,102,21.400,0,0.0000,0.0000,-0.02510,26.0,-60.0,8
5478,102,21.290,0,0.0000,0.0000,-0.02550,26.0,-60.0,8
5603,102,20.630,0,0.0000,0.0000,-0.02510,26.0,-60.0,8
5604,102,20.500,0,0.0000,0.0000,-0.02680,26.0,-60.0,8
5729,102,19.830,0,0.0000,0.0000,-0.02650,26.0,-60.0,8
5730,102,19.700,0,0.0000,0.0000,-0.02810,26.0,-60.0,8
5855,102,19.020,0,0.0000,0.0000,-0.02770,26.0,-60.0,8
5856,102,18.890,0,0.0000,0.0000,-0.02940,26.0,-60.0,8
5981,102,18.200,0,0.0000,0.0000,-0.02920,26.0,-60.0,8
