# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4005
# master_id,101,slave_id,102
# poll_ms=125,drive=PPM D6/D10
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault,thr_us,str_us,mst_ppm_us,slv_ppm_us
4388,102,3.630,0,0.0000,0.0000,-0.14740,25.9,-60.0,8,1500,1500,1500,1500
4440,102,3.640,0,0.0000,0.0000,-0.15050,25.9,-60.0,8,1500,1500,1500,1500
4531,102,3.630,0,0.0000,0.0000,-0.14370,25.9,-60.0,8,1500,1500,1500,1500
4578,102,3.650,0,0.0000,0.0000,-0.15230,25.9,-60.0,8,1500,1500,1500,1500
4669,102,3.620,0,0.0000,0.0000,-0.14510,25.9,-60.0,8,1500,1500,1500,1500
4715,102,3.650,0,0.0000,0.0000,-0.15020,25.9,-60.0,8,1500,1500,1500,1500
4807,102,3.620,0,0.0000,0.0000,-0.14630,25.9,-60.0,8,1500,1500,1500,1500
4853,102,3.650,0,0.0000,0.0000,-0.14820,25.9,-60.0,8,1500,1500,1500,1500
4944,102,3.640,0,0.0000,0.0000,-0.14650,25.9,-60.0,8,1500,1500,1500,1500
4991,102,3.650,0,0.0000,0.0000,-0.15080,25.9,-60.0,8,1500,1500,1500,1500
5089,102,3.630,0,0.0000,0.0000,-0.14490,25.9,-60.0,8,1500,1500,1500,1500
5135,102,3.650,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
5226,102,3.630,0,0.0000,0.0000,-0.14790,25.9,-60.0,8,1500,1500,1500,1500
5273,102,3.640,0,0.0000,0.0000,-0.14970,25.9,-60.0,8,1500,1500,1500,1500
5364,102,3.630,0,0.0000,0.0000,-0.14790,25.9,-60.0,8,1500,1500,1500,1500
5410,102,3.640,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
5502,102,3.630,0,0.0000,0.0000,-0.14360,25.9,-60.0,8,1500,1500,1500,1500
5548,102,3.650,0,0.0000,0.0000,-0.15000,25.9,-60.0,8,1500,1500,1500,1500
5640,102,3.640,0,0.0000,0.0000,-0.14630,25.9,-60.0,8,1500,1500,1500,1500
5686,102,3.650,0,0.0000,0.0000,-0.14950,25.9,-60.0,8,1500,1500,1500,1500
5777,102,3.630,0,0.0000,0.0000,-0.14670,25.9,-60.0,8,1500,1500,1500,1500
5824,102,3.640,0,0.0000,0.0000,-0.14810,25.9,-60.0,8,1500,1500,1500,1500
5915,102,3.630,0,0.0000,0.0000,-0.14530,25.9,-60.0,8,1500,1500,1500,1500
5961,102,3.640,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
6053,102,3.630,0,0.0000,0.0000,-0.14130,25.9,-60.0,8,1500,1500,1500,1500
6099,102,3.650,0,0.0000,0.0000,-0.15180,25.9,-60.0,8,1500,1500,1500,1500
6190,102,3.640,0,0.0000,0.0000,-0.14310,25.9,-60.0,8,1500,1500,1500,1500
6237,102,3.650,0,0.0000,0.0000,-0.14850,25.9,-60.0,8,1500,1500,1500,1500
6328,102,3.630,0,0.0000,0.0000,-0.14510,25.9,-60.0,8,1500,1500,1500,1500
6374,102,3.640,0,0.0000,0.0000,-0.15160,25.9,-60.0,8,1500,1500,1500,1500
6466,102,3.630,0,0.0000,0.0000,-0.14540,25.9,-60.0,8,1500,1500,1500,1500
6512,102,3.650,0,0.0000,0.0000,-0.14870,25.9,-60.0,8,1500,1500,1500,1500
