# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4065
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.1.0
# poll_ms=125,drive=PPM D6/D10
time_ms,throttle_us,steering_us,master_ppm_us,slave_ppm_us,esc1_rpm,esc1_duty,esc1_motor_a,esc1_input_a,esc1_v_in,esc1_fet_c,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_a,esc2_input_a,esc2_v_in,esc2_fet_c,esc2_fault_code,esc2_fault_name
4480,1500,1500,1500,1500,0,-0.14580,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14820,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4625,1500,1500,1500,1500,0,-0.14490,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14960,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4763,1500,1500,1500,1500,0,-0.14990,0.0000,0.0000,3.640,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14890,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4900,1500,1500,1500,1500,0,-0.14120,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15280,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5037,1500,1500,1500,1500,0,-0.14730,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14930,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5181,1500,1500,1500,1500,0,-0.14490,0.0000,0.0000,3.620,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14770,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5319,1500,1500,1500,1500,0,-0.14600,0.0000,0.0000,3.640,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.14800,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5456,1500,1500,1500,1500,0,-0.14320,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15250,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5594,1500,1500,1500,1500,0,-0.14770,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15190,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5731,1500,1500,1500,1500,0,-0.14490,0.0000,0.0000,3.640,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15090,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5869,1500,1500,1500,1500,0,-0.14520,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15130,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6006,1500,1500,1500,1500,0,-0.14410,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15120,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6144,1500,1500,1500,1500,0,-0.14930,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15240,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6281,1500,1500,1500,1500,0,-0.14760,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15110,0.0000,0.0000,3.650,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6419,1500,1500,1500,1500,0,-0.14300,0.0000,0.0000,3.630,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15000,0.0000,0.0000,3.660,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
