# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.2.0
# poll_ms=125,drive=PPM D6/D10
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,rc_last_update_age_ms,rc_signal_valid,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4574,0,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00890,-0.0919,-0.0001,57.620,0,NONE,0,-0.00920,-0.0074,-0.0000,57.710,0,NONE
4718,144,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00900,0.0000,0.0000,57.610,0,NONE,0,-0.00940,0.0000,0.0000,57.730,0,NONE
4855,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00910,0.0000,0.0000,57.610,0,NONE,0,-0.00950,0.0000,0.0000,57.730,0,NONE
4993,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-0.5079,-0.0005,57.610,0,NONE,0,0.00000,-0.1531,-0.0001,57.720,0,NONE
5137,144,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.4552,-0.0014,57.620,0,NONE,0,0.00000,-0.1612,-0.0001,57.720,0,NONE
5275,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.4211,-0.0013,57.620,0,NONE,0,0.00000,-0.0583,-0.0001,57.730,0,NONE
5413,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.4677,-0.0013,57.620,0,NONE,0,0.00000,-0.0074,-0.0001,57.740,0,NONE
5551,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5033,-0.0013,57.620,0,NONE,0,0.00000,0.1083,-0.0001,57.740,0,NONE
5689,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.4923,-0.0013,57.630,0,NONE,0,0.00000,0.0109,-0.0001,57.730,0,NONE
5827,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5511,-0.0013,57.640,0,NONE,0,0.00000,0.0926,-0.0000,57.730,0,NONE
