# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.3.0
# poll_ms=125,drive=PPM D6/D10
# control_state: 0=STOP_NO_THROTTLE 1=NORMAL_DRIVE 2=STEERING_TIMEOUT 3=FAILSAFE_STOP
# throttle_age_ms,steering_age_ms: -1 if channel never seen
# stop_commanded: 1=firmware neutral due to invalid throttle only
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,throttle_age_ms,steering_age_ms,throttle_signal_valid,steering_signal_valid,throttle_ever_seen,steering_ever_seen,stop_commanded,control_state,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4535,0,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,1,0,0.00000,0.0000,0.0000,56.460,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
4671,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.480,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
4807,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,1,0,0.00000,0.0000,0.0000,56.480,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
4943,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
5079,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.470,0,NONE,0,0.00000,0.0000,0.0000,56.590,0,NONE
5215,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.470,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
5351,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.470,0,NONE,0,0.00000,0.0000,0.0000,56.560,0,NONE
5487,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.480,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
5623,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.480,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
5759,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.590,0,NONE
5895,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.500,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
6031,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
6167,136,1468,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
6303,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.590,0,NONE
6439,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.480,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
6575,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.470,0,NONE,0,0.00000,0.0000,0.0000,56.570,0,NONE
6711,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.490,0,NONE,0,0.00000,0.0000,0.0000,56.560,0,NONE
6847,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.470,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
6983,136,1474,1497,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,0.0000,0.0000,56.460,0,NONE,0,0.00000,0.0000,0.0000,56.580,0,NONE
